x	y
0.334170	0.259620
0.346910	0.239690
0.360130	0.227240
0.373860	0.170590
0.388110	0.142570
0.402900	0.140080
0.418260	0.130120
0.434200	0.118290
0.450750	0.129500
0.467940	0.133860
0.485770	0.202340
0.504290	0.339930
0.523510	0.493710
0.543470	0.506160
0.564180	0.391600
0.585690	0.407790
0.608010	0.935120
0.631190	2.121760
0.655240	3.475870
0.680220	3.775330
0.706150	2.726910
0.733060	1.339800
0.761010	0.642500
0.790010	0.449500
0.820130	0.382890
0.851390	0.489350
0.883840	1.097610
0.917530	3.458440
0.952500	8.338220
0.988810	13.577230
1.026500	15.282470
1.065630	11.906220
1.106240	6.532730
1.148410	2.552570
1.192180	0.867250
1.237630	0.442650
1.284800	0.366700
1.333770	0.384750
1.384610	0.512380
1.437390	0.947560
1.492180	1.745080
1.549060	2.483460
1.608100	2.598630
1.669400	1.915040
1.733030	1.068960
1.799090	0.461330
1.867660	0.287010
1.938850	0.328720
2.012760	0.394710
2.089480	0.468800
2.169120	0.456970
2.251800	0.306310
2.337630	0.197980
2.426740	0.117040
2.519240	0.115180
2.615260	0.112060
2.714950	0.094630
2.818430	0.075950
2.925860	0.065990
3.037390	0.067240
